ID,TITLE,ABSTRACT,Status,YEAR,AUTHORS,URL,Publisher,Facet: Topic
,Design of Power Efficient Schema for Energy Optimization in Data Center With Massive Task Execution Using DVFS,"The proposed system highlights a novel energy efficient technique by considering an entire datacenter using DVFS (Dynamic Voltage and Frequency Scaling). Unwanted power consumption was always a matter of concern from last 2 years for the administrators of datacenters. Therefore, a research trial in order to minimize the power consumption has become of the prominent concern in the area of cloud computing as it claims zero down-time as per Service Level Agreement. In this research work, we consider the case of multimedia video sharing web services, which we believe is frequently in top of the hit counter with millions of user sharing high size of video application, giving rise of power consumption from data center. The proposed system presents a unique provisioning technique which amalgamates the power factor with network resources. The simulation results also show that the system is successful in maintaining an equilibrium between power utilization at data center along with unit of task allocation processing. ",,2012,"A, Arunadevi. M",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.403.2229,Citeseer,SLA and Cloud
,PAY-PER-USE REVENUE MODELS FOR GEOPROCESSING SERVICES IN THE CLOUD,"Cloud Computing is one of the latest trends in the mainstream IT world and hints at a future in which the storage of data and the hosting of applications are no longer performed on local computers, but on distributed third-party facilities. From a provider perspective, Cloud Computing enables companies to significantly increase their hardware utilization rate and allows external customers to use the company's infrastructure on pay-per-use revenue models. From a client perspective, it enables the on-demand allocation of sufficient resources to solve complex computational problems or to scale all kinds of applications. Geographic Information Systems (GIS) have been under constant change in recent years. Emerging web service technologies stimulated the evolution from desktop- and data-centric GIS to distributed and loosely coupled web services merged into the Spatial Data Infrastructure (SDI) concept. The processing of data is an essential part of daily work of GIS experts. With increasing amount of 
available data and higher requirements on adopted algorithms, the data processing part in SDIs becomes crucial in terms of practicability and performance. Cloud Computing offers a technical opportunity for the on-demand provisioning of sufficient resources for computing-intensive algorithms and an economic opportunity to support future business models. This paper presents an OGC Web Processing Service (WPS) implementation that uses Cloud Computing resources to perform geoprocessing tasks. The resource usage is monitored and the accumulated usage costs are charged to the service consumer account. The implementation will be demonstrated in a real world use case that is based on governmental forest management.",,,"A, B. Baranski; A, T. Deelmann & B, B. Sch\""{a}ffer",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.222.4986,Citeseer,SLA and Cloud
,Study of Knowledge Based Admission Control for a Software-as-a-Service Provider in Cloud Computing Environments,"Software as a Service (SaaS) provides access to applications to end users over the Internet without upfront investment in infrastructure and software. To serve their customers, SaaS providers utilize resources of internal data centers or rent resources from a public Infrastructure as a Service (IaaS) provider. In-house hosting can increase administration and maintenance costs whereas renting from an IaaS provider can impact the service quality due to its variable performance. To overcome these limitations, innovative admission control and scheduling algorithms for SaaS providers to effectively utilize public Cloud resources to maximize profit by minimizing cost and improving customer satisfaction level are required. Furthermore, we conduct an extensive evaluation study to analyze which solution suits best in which scenario to maximize SaaS provider’s profit.",,2013,"A, R. S. Mohana; B, Dr. P. Thangaraj & C, S. Kalaiselvi",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.413.2625,,SLA and Cloud
,Dynamic hosting management of Web based applications over clouds,"Dynamic Application Hosting Management (DAHM) allows clouds to dynamically host applications in data centers at different locations based on: (i) spatio-temporal variation of energy price, (ii) data center computing and cooling energy efficiency, (iii) Virtual Machine (VM) migration cost for the applications, and (iv) any SLA violations due to migration overhead or network delay. DAHM is complementary to dynamic workload distribution problem and is modeled as mixed integer programming; online algorithms are developed to solve the problem. The algorithms are evaluated in a simulation study using realistic data and compared with performance-oriented application assignment, i.e., hosting the application at a data center whose delay is the least. Our simulations results indicate that DAHM can potentially save up to 20\% cost while incurring only a nominal increase in SLA violations. The savings are obtained by exploiting the cost efficiency variation as well as reducing the total number of VMs employed to host applications.",,2011,"Abbasi, Zahra; Mukherjee, Tridib; Varsamopoulos, Georgios; Gupta, Sandeep K. S. & Gupta, Eep K. S.",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6152731,IEEE,SLA and Cloud
,Towards Energy Efficient Change Management in a Cloud Computing Environment,"The continuously increasing cost of managing IT systems has led many companies to outsource their commercial services to external hosting centers. Cloud computing has emerged as one of the enabling technologies that allow such external hosting efficiently. Like any IT environment, a Cloud Computing environment requires high level of maintenance to be able to provide services to its customers. Replacing defective items (hardware/software), applying security patches, or upgrading firmware are just a few examples of the typical maintenance procedures needed in such environments. While taking resources down for maintenance, applying efficient change management techniques is a key factor to the success of the cloud. As energy has become a precious resource, research has been conducted towards devising protocols that minimize energy consumption in IT systems. In this paper, we propose a pro-active energy efficient technique for change management in cloud computing environments. We formulate the management problem into an optimization problem that aims at minimizing the total energy consumption of the cloud. Our proposed approach is pro-active in the sense that it takes prior SLA (Service Level Agreement) requests into account while determining time slots in which changes should take place.",,2009,"Abdelsalam, Hady; Maly, Kurt; Mukkamala, Ravi; Zubair, Mohammad & Kaminsky, David",http://dl.acm.org/citation.cfm?id=1574663.1574681,Springer Berlin Heidelberg,SLA and Cloud
,Analysis of Energy Efficiency in Clouds,"A cloud can be defined as a pool of computer resources that can host a variety of different workloads, ranging from long-running scientific jobs (e.g., modeling and simulation) to transactional work (e.g., web applications). A cloud computing platform dynamically provisions, configures, reconfigures, and de-provisions servers as needed. Servers in the cloud can be physical machines or virtual machines. Cloud-hosting facilities, including many large businesses that run clouds in-house, became more common as businesses tend to out-source their computing needs more and more. For large-scale clouds power consumption is a major cost factor. Modern computing devices have the ability to run at various frequencies each one with a different power consumption level. Hence, the possibility exists to choose frequencies at which applications run to optimize total power consumption while staying within the constraints of the Service Level Agreements (SLA) that govern the applications. In this paper, we analyze the mathematical relationship of these SLAs and the number of servers that should be used and at what frequencies they should be running. We discuss a proactive provisioning model that includes hardware failures, devices available for services, and devices available for change management, all as a function of time and within constraints of SLAs. We provide scenarios that illustrate the mathematical relationships for a sample cloud and that provides a range of possible power consumption savings for different environments.",,2009,"Abdelsalam, Hady S.; Maly, Kurt; Mukkamala, Ravi; Zubair, Mohammad & Kaminsky, David",http://dl.acm.org/citation.cfm?id=1673078.1674366 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5359623,IEEE,SLA and Cloud
,Towards integrating information of service level agreement and resources as a services (RaaS) for cloud computing environment,"Cloud computing describes services and applications that are extended to be accessible through the Internet. Service Level Agreement (SLA) is a contractual agreement that has been established between the members of Cloud Service Provider (CSP) that consists of the service provider and its recipient for a specific application of services based on its allocating and sharing Resources as a Service (RaaS). In this context, there are many parties who are very concerning about it, but unfortunately there is lack of a common mapping of SLA information and RaaS of best practice as a guideline that can be used by CSP in making decision for the future purposes in engaging with services in the cloud computing environment. Therefore, the main goal of this paper is to integrate information of SLA and RaaS in order to ensure everybody who are providing and receiving the services in the cloud particularly will be satisfied and getting the best maximum Return Of the Investment (ROI) in allocating and sharing resources among the providers and recipients in cloud computing environment. As a result, some attributes such as reliability, readability and standardization of Software as a Service (SaaS), Platform as a Service (PaaS) and Infrastructure as a Service (IaaS) are found to be high.",,2012,"Abdullah, Rusli & Talib, Amir Mohamed",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6417613,IEEE,SLA and Cloud
,Bidding Strategies in QoS-Aware Cloud Systems Based on N-Armed Bandit Problems,"In this paper we consider a set of Software as a Service (SaaS) providers, that offer a set of Web services using the Cloud facilities provided by an Infrastructure as a Service (IaaS) provider. We assume that the IaaS provider offers a pay only what you use scheme similar to the Amazon EC2 service, comprising flat, on demand, and spot virtual machine instances. We propose a two-stage provisioning scheme. In the first stage, the SaaS providers determine the number of required flat and on demand instances by means of standard optimization techniques. In the second stage, the SaaS providers compete by bidding for the spot instances which are instantiated using the unused IaaS capacity. We put our focus on the bidding decision process by the SaaS providers, which takes place during the second stage, and apply N-armed bandit problems, in which the player is faced repeatedly with a choice among N different options, and every time he submits his decision evaluating past feedbacks. Through numerical experiments, we analyze proposed strategies under different scenarios and prove the SaaS providers ability to refine their behavior round by round and to determine the best bid so to maximize their revenue and achieve as many spot resources as possible, also addressing the importance of a trade-off between exploration and exploitation, i.e., among greedy and non-greedy actions.",,2014,"Abundo, Marco; Di Valerio, Valerio; Cardellini, Valeria & Presti, Francesco Lo",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6786761 http://dl.acm.org/citation.cfm?id=2607055.2607497,IEEE,SLA and Cloud
,Cloud monitoring: A survey,"Nowadays, Cloud Computing is widely used to deliver services over the Internet for both technical and economical reasons. The number of Cloud-based services has increased rapidly and strongly in the last years, and so is increased the complexity of the infrastructures behind these services. To properly operate and manage such complex infrastructures effective and efficient monitoring is constantly needed. Many works in literature have surveyed Cloud properties, features, underlying technologies (e.g. virtualization), security and privacy. However, to the best of our knowledge, these surveys lack a detailed analysis of monitoring for the Cloud. To fill this gap, in this paper we provide a survey on Cloud monitoring. We start analyzing motivations for Cloud monitoring, providing also definitions and background for the following contributions. Then, we carefully analyze and discuss the properties of a monitoring system for the Cloud, the issues arising from such properties and how such issues have been tackled in literature. We also describe current platforms, both commercial and open source, and services for Cloud monitoring, underlining how they relate with the properties and issues identified before. Finally, we identify open issues, main challenges and future directions in the field of Cloud monitoring.1Preliminary results within the same framework have been published in G. Aceto, A. Botta, W. de Donato, A. Pescap\`{e}, “Cloud monitoring: definitions, issues and future directions”, 1st IEEE International Conference on Cloud Networking (IEEE CloudNet’12)”, Paris (France), November 28–30, 2012.1",,2013,"Aceto, Giuseppe; Botta, Alessio; de Donato, Walter & Pescap\`{e}, Antonio",http://www.sciencedirect.com/science/article/pii/S1389128613001084 http://dl.acm.org/citation.cfm?id=2489309.2489421,"Elsevier North-Holland, Inc.",SLA and Cloud
,"Cloud monitoring: Definitions, issues and future directions","Despite its importance for operating Cloud systems, Cloud monitoring has received limited attention from the research community. In this position paper, we provide an analysis of Cloud monitoring. More precisely, we discuss the main motivations, basic concepts and definitions, and point out open research issues and future directions for Cloud monitoring.",,2012,"Aceto, Giuseppe; Botta, Alessio; de Donato, Walter & Pescape, Antonio",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6483656,IEEE,SLA and Cloud
